epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.399,1.8599,1.74117,1.03694,0.72775,0.5044,0.55846,0.31587,1.6184,0.99825,0.9352,0.000998982,0.000998982,0.0910092
2,643.099,1.62646,1.02284,0.9395,0.8204,0.61456,0.68866,0.40611,1.49424,0.83107,0.89817,0.001997,0.001997,0.0820072
3,950.629,1.54742,0.90065,0.91269,0.84649,0.65956,0.73199,0.43888,1.44046,0.78022,0.88239,0.00299304,0.00299304,0.0730032
4,1260.9,1.50841,0.84369,0.90239,0.86808,0.67163,0.75001,0.45886,1.41161,0.7479,0.87741,0.0039871,0.0039871,0.0639973
5,1569.09,1.48358,0.81152,0.89625,0.87303,0.69931,0.77344,0.4763,1.38329,0.71404,0.86948,0.00497919,0.00497919,0.0549894
6,1866.84,1.47006,0.79206,0.89238,0.88182,0.71078,0.78626,0.48624,1.36298,0.70118,0.8662,0.00596929,0.00596929,0.0459795
7,2168.4,1.45561,0.77692,0.88944,0.88194,0.72612,0.80047,0.49965,1.33832,0.67424,0.86335,0.00695741,0.00695741,0.0369676
8,2469.12,1.44839,0.7703,0.88868,0.88533,0.73437,0.80509,0.50425,1.32419,0.6712,0.85955,0.00794355,0.00794355,0.0279537
9,2775.96,1.44444,0.7656,0.88799,0.89244,0.74078,0.81247,0.51257,1.30379,0.65314,0.85722,0.00892771,0.00892771,0.0189379
10,3085.49,1.44184,0.76684,0.88852,0.89289,0.74794,0.8185,0.51802,1.29614,0.64638,0.85689,0.00990989,0.00990989,0.00992007
11,3388.69,1.41912,0.74758,0.8848,0.89657,0.7561,0.82637,0.52665,1.27761,0.63384,0.85372,0.009901,0.009901,0.009901
12,3691.43,1.38624,0.72058,0.87798,0.90042,0.76822,0.83615,0.53597,1.25581,0.61342,0.84915,0.0098911,0.0098911,0.0098911
13,3991.64,1.36421,0.70307,0.87423,0.90168,0.77479,0.84124,0.54278,1.24333,0.6028,0.84734,0.0098812,0.0098812,0.0098812
14,4296.91,1.34563,0.6883,0.86968,0.90327,0.77947,0.84609,0.54825,1.23162,0.59343,0.84538,0.0098713,0.0098713,0.0098713
15,4600.43,1.32735,0.67595,0.86618,0.9059,0.78416,0.84894,0.5525,1.22058,0.58752,0.84351,0.0098614,0.0098614,0.0098614
16,4908.09,1.31305,0.66641,0.86405,0.90765,0.78588,0.85118,0.55577,1.21398,0.58208,0.84234,0.0098515,0.0098515,0.0098515
17,5208.08,1.30363,0.65934,0.86235,0.90928,0.78694,0.85284,0.55812,1.20778,0.57788,0.84134,0.0098416,0.0098416,0.0098416
18,5524.39,1.29722,0.65345,0.86089,0.90921,0.78875,0.85424,0.5599,1.20352,0.57469,0.84067,0.0098317,0.0098317,0.0098317
19,5834.03,1.28669,0.64746,0.85848,0.90875,0.79058,0.8556,0.5618,1.20009,0.57206,0.84006,0.0098218,0.0098218,0.0098218
20,6138.84,1.28469,0.6454,0.85785,0.91047,0.79059,0.8565,0.56298,1.19726,0.57034,0.83947,0.0098119,0.0098119,0.0098119
21,6445.97,1.27848,0.64109,0.8564,0.91165,0.79036,0.8574,0.56464,1.19423,0.56838,0.83896,0.009802,0.009802,0.009802
22,6751.46,1.27074,0.63689,0.85672,0.91156,0.79106,0.85815,0.56617,1.19163,0.56708,0.83856,0.0097921,0.0097921,0.0097921
23,7057.61,1.27069,0.63478,0.8558,0.91219,0.79182,0.85913,0.56766,1.18932,0.56573,0.83812,0.0097822,0.0097822,0.0097822
24,7358.18,1.26103,0.62974,0.85429,0.91359,0.79207,0.86006,0.56911,1.18708,0.56456,0.83772,0.0097723,0.0097723,0.0097723
25,7666.25,1.25848,0.62722,0.85389,0.91443,0.79275,0.86098,0.5702,1.18489,0.56343,0.83746,0.0097624,0.0097624,0.0097624
26,7966.45,1.25372,0.625,0.8524,0.91418,0.79335,0.86185,0.57126,1.18303,0.56243,0.83714,0.0097525,0.0097525,0.0097525
27,8273.01,1.25136,0.62276,0.85139,0.9154,0.79439,0.86255,0.5723,1.18116,0.56165,0.83687,0.0097426,0.0097426,0.0097426
28,8576.68,1.24706,0.6203,0.85139,0.91581,0.79513,0.86359,0.57336,1.17932,0.56067,0.83652,0.0097327,0.0097327,0.0097327
29,8878.21,1.24537,0.62007,0.85131,0.9157,0.79556,0.86413,0.57458,1.17729,0.55964,0.83628,0.0097228,0.0097228,0.0097228
30,9188.55,1.2436,0.6176,0.85106,0.91665,0.79598,0.86504,0.57564,1.17509,0.5587,0.83599,0.0097129,0.0097129,0.0097129
31,9500.81,1.24026,0.61592,0.8505,0.91628,0.79721,0.86571,0.57692,1.17319,0.55774,0.83564,0.009703,0.009703,0.009703
32,9805.11,1.23685,0.6142,0.8501,0.91608,0.79834,0.86622,0.57813,1.1712,0.55667,0.83531,0.0096931,0.0096931,0.0096931
33,10107.1,1.23584,0.61419,0.85002,0.91574,0.79988,0.86711,0.57912,1.16906,0.55553,0.83496,0.0096832,0.0096832,0.0096832
34,10410.7,1.23106,0.61137,0.84892,0.91605,0.801,0.86768,0.5799,1.16703,0.5541,0.8346,0.0096733,0.0096733,0.0096733
35,10713.2,1.22988,0.61047,0.84902,0.91718,0.80137,0.86856,0.58077,1.16526,0.55314,0.8342,0.0096634,0.0096634,0.0096634
36,11019.5,1.22865,0.60951,0.84874,0.91732,0.80189,0.86951,0.58183,1.16324,0.55175,0.83393,0.0096535,0.0096535,0.0096535
37,11328,1.23035,0.60973,0.84814,0.91754,0.80265,0.87011,0.58285,1.16124,0.55045,0.8336,0.0096436,0.0096436,0.0096436
38,11637.4,1.22161,0.60513,0.84793,0.91711,0.80387,0.87051,0.58351,1.15909,0.54925,0.83331,0.0096337,0.0096337,0.0096337
39,11940.4,1.2204,0.60436,0.84762,0.91712,0.80422,0.87122,0.5846,1.15703,0.54778,0.83302,0.0096238,0.0096238,0.0096238
40,12258.1,1.22453,0.60683,0.84811,0.91649,0.80564,0.87191,0.58553,1.15533,0.54651,0.83271,0.0096139,0.0096139,0.0096139
41,12568.2,1.21697,0.6024,0.84779,0.91701,0.80679,0.87269,0.58652,1.15365,0.54548,0.83249,0.009604,0.009604,0.009604
42,12877.9,1.21843,0.60473,0.8475,0.91748,0.80757,0.87325,0.58735,1.15184,0.54438,0.83216,0.0095941,0.0095941,0.0095941
43,13186.5,1.21751,0.60242,0.84704,0.91747,0.8087,0.87359,0.58804,1.15018,0.5434,0.83193,0.0095842,0.0095842,0.0095842
